Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0441546S;Section d'enseignement général et professionnel adapté du Collège La Noé Lambert;SEGPA;CLG LA NOE LAMBERT;Public;42 boulevard DES POILUS;;;44300;NANTES;Nantes;357656.4;6691097.4;EPSG:2154;47.23182735221781;-1.5272198272419046;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23182735221781, -1.5272198272419046;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-01-25
0441851Y;Ecole primaire privée Sainte Catherine de Sienne;ECOLE PRIMAIRE PRIVEE;STE CATHERINE DE SIENNE;Privé;28 rue du Fort;;;44300;NANTES;Nantes;357415.8;6694755.8;EPSG:2154;47.264584029969946;-1.5331689630167562;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.264584029969946, -1.5331689630167562;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1977-06-22
0441878C;Ecole maternelle publique Georges Brassens;ECOLE MATERNELLE PUBLIQUE;GEORGES BRASSENS;Public;19 rue Eugène Thomas;;;44300;NANTES;Nantes;354527.5;6694634.8;EPSG:2154;47.261998345943844;-1.571210183163439;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.261998345943844, -1.571210183163439;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-09-15
0441879D;Ecole primaire Françoise Dolto;ECOLE PRIMAIRE PUBLIQUE;FRANCOISE DOLTO;Public;11 rue de Concarneau;;;44300;NANTES;Nantes;353920.3;6695029.9;EPSG:2154;47.26523271480759;-1.5795293798054046;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.26523271480759, -1.5795293798054046;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-09-15
0441933M;Collège privé Externat des Enfants Nantais;COLLEGE PRIVE;EXTERNAT DES ENFANTS NANTAIS;Privé;31 avenue CAMUS;;;44042;NANTES CEDEX 1;Nantes;354111.0;6689868.5;EPSG:2154;47.2189441040484;-1.5730605215115137;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2189441040484, -1.5730605215115137;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0441934N;Collège privé Chavagnes;COLLEGE PRIVE;CHAVAGNES;Privé;11  RUE MONDESIR;;71523;44015;NANTES CEDEX 1;Nantes;354341.2;6689706.2;EPSG:2154;47.21760532928408;-1.5698997519538338;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21760532928408, -1.5698997519538338;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0442031U;Ecole maternelle publique Le Linot;ECOLE MATERNELLE PUBLIQUE;LINOT (LE);Public;45 rue du Port des Charrettes;;;44300;NANTES;Nantes;357835.5;6695101.4;EPSG:2154;47.26790684912831;-1.5278894925046043;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.26790684912831, -1.5278894925046043;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
0442047L;Ecole maternelle publique Marie-Anne du Boccage;ECOLE MATERNELLE PUBLIQUE;MARIE-ANNE DU BOCCAGE;Public;44 rue Marie-Anne du Boccage;;;44000;NANTES;Nantes;354097.9;6689380.6;EPSG:2154;47.21455222498077;-1.572860182658211;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21455222498077, -1.572860182658211;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0442342G;Section d'enseignement général et technologique du Lycée Professionnel François Arago;SECTION ENSEIGNT GEN.ET TECHNO;LP FRANCOIS ARAGO;Public;23 rue DU RECTEUR SCHMITT;;82216;44322;NANTES CEDEX 3;Nantes;355850.0;6693229.9;EPSG:2154;47.250059215187584;-1.5526794129255734;Parfaite;Numéro de rue;335;SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.250059215187584, -1.5526794129255734;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1997-09-01
0442535S;Ecole Secondaire Privée Cours Charlier;ECOLE SECONDAIRE PRIVEE;COURS CHARLIER;Privé;26 bis rue DES HAUTS PAVES;;;44000;NANTES;Nantes;354876.2;6690358.1;EPSG:2154;47.22374276055028;-1.5633398804077752;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.22374276055028, -1.5633398804077752;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2001-10-01
