Identifiant;Identifiant;Nom;Pôle;Commune;Adresse;Complément d’adresse;Marque;Type;Complément type;Automatique;Accessibilité PMR;Propriétaire;Exploitant;Nettoiement;Maintenance;Horaires d’ouverture;Motif;Jours de marché;Géométrie
52;SP_NM_13_002;Vieux Doulon;Erdre et Loire;Nantes;37, Rue de Rivière;Place du Vieux Doulon;SAGELEC;Mobilier;WC siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;dimanche;"{""coordinates"": [-1.5027685918031843, 47.234940141849464], ""type"": ""Point""}"
58;SP_C_13_004;Beaujoire (Maison de la Rose);Erdre et Loire;Nantes;Parc floral de la Beaujoire;Route de St Joseph - Maison de la Rose;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;;;;"{""coordinates"": [-1.5346044359260338, 47.26189531354797], ""type"": ""Point""}"
71;SP_NM_06_004;Charles De Gaulle;Loire Chézine;Couëron;Place Charles de Gaulle;;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;jeudi;"{""coordinates"": [-1.7275595702907816, 47.21116672995271], ""type"": ""Point""}"
97;SP_C_13_013;Louis Bureau;Nantes Loire;Nantes;Square du Muséum Louis Bureau;Place de la Monnaie;;Bâti;siège/urinoirs;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5647452612021011, 47.21284779087007], ""type"": ""Point""}"
110;SP_NM_13_024;Viarme;Nantes Ouest;Nantes;Place Viarme;face n°3;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;restreint;Présence d'un marché;samedi;"{""coordinates"": [-1.5618513720010654, 47.220411222577354], ""type"": ""Point""}"
113;SP_C_13_019;Procé Vallon;Nantes Ouest;Nantes;Parc de Procé - Vallon;Rue des Dervallières - allée centrale;;;WC siège;non;non;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.583300653361032, 47.22355683784732], ""type"": ""Point""}"
126;SP_C_13_028;Potager tropical;Erdre et Loire;Nantes;Parc du Grand Blottereau;potager tropical;;Bâti;;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5122751073517104, 47.226652422278995], ""type"": ""Point""}"
136;SP_C_13_036;Square Daviais;Nantes Loire;Nantes;Square Jean Baptiste Daviais;Cours Franklin Roosevelt;;;;;;;;;;;;;"{""coordinates"": [-1.558670541225857, 47.211905781088674], ""type"": ""Point""}"
140;SP_C_03_004;Cimetière Bourg;Sud-Ouest;Bouguenais;Rue du Cimetière;dans le cimetière;;Bâti;;non;non;Commune;Commune;Commune;Commune;restreint;Cimetière;;"{""coordinates"": [-1.6241980596865346, 47.176390495077655], ""type"": ""Point""}"
10;SP_C_04_001;Mairie;Sud-Ouest;Brains;Place de la Mairie;Mairie;;Bâti;;non;;Commune;Commune;Commune;Commune;;Centre ville;;"{""coordinates"": [-1.7223608708175036, 47.16960665646889], ""type"": ""Point""}"
